row,column,reference,comparison_a,comparison_b,comparison_c
0,0,32.046845415396554,47.032721141310724,18.674331329737832,41.56752168945608
0,1,38.84018667694376,38.34433767751064,21.909892568106095,46.19396784909881
0,2,37.9292425049184,41.91874056191954,30.57911911433509,53.216238122839755
0,3,41.206108987396426,44.958730909423714,31.62626063856425,49.82616037274782
0,4,43.89284054332095,45.98836531394921,32.50074415457528,47.083283626896765
0,5,40.25740007573207,55.6394119844345,37.35576539419051,54.83076793122426
0,6,42.5049142747806,53.43580985123109,42.46776528016137,53.24914229895707
0,7,46.68217187215067,64.49564799243372,44.266693502220335,54.3558580205218
0,8,46.95173044758979,45.81795714289544,40.278570718580404,62.181987990881
0,9,49.13602069839718,54.056737708943466,39.79863057679287,56.36617132882427
0,10,50.417851811274424,61.1862256397127,44.12176200599947,64.00049203834477
0,11,52.160848044827894,52.96537674375304,39.92482883525139,65.26160593407363
0,12,52.66981141081155,53.56929896764781,37.45119337801616,63.25478056184794
0,13,53.13215630975726,59.178285218799616,42.5733039631583,69.34720473512573
0,14,53.20610114067236,62.52830262042387,45.592863066542094,74.28771906037299
0,15,53.750600515889914,56.34608241117712,41.78330703836058,76.97837906332671
0,16,55.02811901487076,71.81949042892508,50.57713600869921,72.92129729598331
0,17,54.16886825970104,58.81358539339802,54.80964742232479,75.38190035812941
0,18,nan,nan,nan,nan
0,19,55.21181082061971,63.117459045749015,55.29067260190409,78.79352698117994
0,20,58.75136520038692,67.49293523583073,52.00804726309283,70.79025958529857
0,21,56.36513402162154,55.14249610579694,42.73793990175893,80.3039515485003
0,22,57.24314804731104,66.58527673834095,62.01621570617902,74.12567209481621
0,23,56.088767143899865,63.55503560737234,52.35334254859991,74.28400428309347
0,24,53.07891928746421,55.476600810672714,52.058364183421446,71.18968722318952
0,25,58.55173230509441,66.24350829708216,44.707490004624404,83.32924124880114
0,26,60.254968683195706,55.868138974252375,48.36533303454492,73.65628259115657
0,27,53.415193306225675,67.12465715703931,55.69014007102997,74.6929201375596
0,28,60.31385966959102,63.92097153352114,49.35576787459637,71.1272093322014
0,29,55.73032315774173,60.07411589014809,51.94955833056474,73.82071120281051
0,30,59.92466757461933,68.40493257052064,57.202124214548235,74.10959759025751
0,31,59.00997025830196,53.791714302077864,70.21255757306628,68.70385695767209
0,32,56.91495049657291,72.94140604318955,52.093764763287254,76.74658535856585
0,33,57.98581215933549,71.09363466347381,39.64500535402666,71.0955243138324
0,34,59.21217229737195,61.52283145903983,58.80467119094263,77.67809489469819
0,35,57.09305242453815,54.6939579689967,63.26265113988614,74.02650715112567
0,36,58.623355294626435,62.2189520725113,64.4789265084507,72.4047368529425
0,37,59.449439692831255,62.84864523477191,40.18045087703727,74.7169299674528
0,38,55.39948134421597,64.8307190454181,61.77231274739498,73.5033013333915
0,39,59.74704004324338,68.0473765045516,56.23249647141242,68.65784476000132
0,40,57.55645639748935,60.67405287518312,58.75436713724627,70.37870676172466
0,41,61.66943131092341,70.80331828810256,50.476799206195025,68.16187938936267
0,42,61.79524934697406,72.18577739469877,48.37083253731984,77.54199064599777
0,43,62.59738380432338,68.41142980804783,45.3857868297637,67.26204271674278
0,44,61.87245160478702,74.09698617978405,49.18880103587364,80.77696930164494
0,45,63.34312098143299,70.81453017021909,58.642075589639255,75.99561763708934
0,46,65.71880261306954,74.48586886996785,54.52543094196001,76.86972300209905
0,47,64.30223408377267,72.91700920604488,59.739864009243455,66.84822397366042
0,48,69.34404291576985,72.35115415859015,60.01310016673975,78.43946080926403
0,49,65.26449405313376,73.11881875665817,51.563596016264796,79.17696476660521
0,50,68.79848705499418,78.95794344989632,66.61845526742928,75.82340996653568
0,51,68.56975497635247,82.51079041726537,49.76917264698554,79.85881907312233
0,52,73.12078810404029,77.10564814351306,56.56677573638555,80.15563082988815
0,53,72.60688662402882,81.95150348219633,66.36297640593607,78.99857184040228
0,54,75.54139672450167,79.90872514806506,54.93164184761256,84.59758359519738
0,55,80.9660214503495,84.16525110326201,64.72014987289761,87.06271491485595
0,56,77.05713984325537,86.14251742996446,77.43348946574913,77.58493236115702
0,57,81.62014530997541,85.93031934687599,82.64738765871287,78.89969246530744
0,58,81.79951702158854,84.21165999633446,62.41630180155215,85.3668247519996
0,59,84.54311796398751,86.50276504304878,75.90653478643435,91.41278689342285
0,60,85.69491612979706,90.00618512461286,83.19940810998231,102.68191127874934
0,61,88.6418392621566,96.950387365625,73.49531915117176,93.05440942033503
0,62,88.23354280861449,105.16692418267344,78.94160137080974,93.68292393537443
0,63,90.01876307127421,93.49147951326576,84.86707439330115,92.76038645334256
0,64,90.04993585752715,87.90609172166887,83.36395286145225,92.26475072562324
0,65,92.9236481171296,102.84416775491127,82.22837005463856,94.0985673658664
0,66,97.22901769962061,104.29992238321098,84.51399355745995,105.76170428330757
0,67,91.78913631422631,107.3702684635169,86.32402808993993,91.28643271467645
0,68,96.45347282144611,100.24811979455735,90.85420071611715,100.28612518669429
0,69,99.94449974070103,106.2988746005452,76.92899405961458,99.15822815614979
0,70,96.29730386192222,102.49456929911896,80.91163391139226,107.34735891221067
0,71,98.36285120959434,100.94692418782633,91.54956141121811,104.16770555519625
0,72,97.7517694078084,105.7152744949825,99.0655292900129,104.03154607992582
0,73,103.97894846710255,113.43557876616907,86.23245088354686,102.91156071609488
0,74,101.21940185518625,109.12343847104283,99.37464248338242,110.75242334728506
0,75,104.36745956163439,108.89450841423896,96.64517518060299,105.44461373857283
0,76,104.56643327273093,110.64999967614312,93.28048543473841,99.68961056591826
0,77,104.22120506813663,109.37268021015944,97.5265099297995,112.103207842236
0,78,104.40155314083775,108.00519007117235,83.94017289402318,108.50936075087243
0,79,104.61745029529334,115.73524748137369,88.70022341485983,111.77837917018103
1,0,32.73386981948684,44.48972228112682,27.66501083104372,47.65455541733211
1,1,39.0757163801447,39.74891042886231,33.89802947417269,33.3359540471623
1,2,43.79228540791555,43.968878800202134,30.46334373646612,50.60319660183976
1,3,40.798968210308935,49.45155132307621,39.90374645265697,46.308967579481546
1,4,46.258526302408015,48.89699559303342,32.52948416638127,57.35510824744603
